epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0841,0.04504,0.75031,0.94294,0.87963,0.91167,0.92192,0.44713,0.04455,0.77605,0.94922,0.0950195,1.945e-05,1.945e-05
2,19.3168,0.04533,0.75712,0.94381,0.88647,0.89795,0.92237,0.44873,0.0438,0.74696,0.9446,0.0890419,4.1944e-05,4.1944e-05
3,26.82,0.04437,0.73272,0.94846,0.87117,0.86404,0.88581,0.4221,0.04437,0.79291,0.94873,0.0830635,6.35152e-05,6.35152e-05
4,33.4761,0.04437,0.72923,0.94116,0.88734,0.89722,0.92835,0.45027,0.04466,0.7432,0.95214,0.0770842,8.41634e-05,8.41634e-05
5,41.0028,0.04363,0.71448,0.92815,0.90052,0.89611,0.93256,0.45476,0.04347,0.73777,0.93852,0.0711039,0.000103889,0.000103889
6,47.4374,0.04506,0.74184,0.94504,0.88939,0.89833,0.92907,0.45622,0.04378,0.73789,0.9405,0.0651227,0.000122691,0.000122691
7,54.5533,0.04495,0.73275,0.94404,0.88453,0.88519,0.92972,0.45776,0.04455,0.72669,0.95017,0.0591406,0.000140571,0.000140571
8,61.169,0.04452,0.72811,0.93232,0.90702,0.90501,0.93915,0.46738,0.04284,0.72729,0.93569,0.0531575,0.000157528,0.000157528
9,68.7308,0.04367,0.71673,0.93377,0.90635,0.90722,0.93621,0.47228,0.0429,0.71024,0.93749,0.0471736,0.000173561,0.000173561
10,76.2543,0.04398,0.72001,0.92954,0.90212,0.90167,0.93731,0.4643,0.04302,0.72312,0.93837,0.0411887,0.000188672,0.000188672
11,83.1086,0.04469,0.72945,0.93952,0.89958,0.90167,0.94024,0.46455,0.04364,0.72301,0.94231,0.0352029,0.000202861,0.000202861
12,90.3905,0.04434,0.72433,0.93783,0.881,0.90833,0.93735,0.47083,0.04239,0.71789,0.932,0.0292161,0.000216126,0.000216126
13,97.593,0.04372,0.71666,0.92902,0.89726,0.91695,0.94144,0.47804,0.04301,0.69257,0.93774,0.0232285,0.000228468,0.000228468
14,104.552,0.04388,0.7136,0.9454,0.90462,0.90389,0.93898,0.48424,0.04206,0.69109,0.93104,0.0172399,0.000239888,0.000239888
15,112.391,0.04358,0.71585,0.93279,0.91218,0.91222,0.93509,0.47466,0.04228,0.6916,0.93192,0.0112504,0.000250384,0.000250384
16,119.85,0.04373,0.71214,0.9285,0.91331,0.91305,0.9471,0.48814,0.04158,0.68461,0.92607,0.00525996,0.000259958,0.000259958
17,127.134,0.04321,0.70812,0.93698,0.92532,0.90444,0.95048,0.49055,0.0415,0.68505,0.9251,0.000265949,0.000265949,0.000265949
18,134.14,0.043,0.6966,0.92785,0.92164,0.91474,0.94813,0.49296,0.04127,0.67993,0.92408,0.000258258,0.000258258,0.000258258
19,141.506,0.04432,0.72119,0.93172,0.91496,0.91833,0.94584,0.4873,0.04164,0.68484,0.92675,0.000250568,0.000250568,0.000250568
20,148.076,0.04479,0.72523,0.93516,0.92573,0.91944,0.94708,0.48845,0.04148,0.67834,0.92583,0.000242877,0.000242877,0.000242877
21,155.275,0.04386,0.71739,0.9309,0.9114,0.90722,0.93867,0.48599,0.04141,0.68034,0.92623,0.000235186,0.000235186,0.000235186
22,162.176,0.04376,0.71235,0.93088,0.91526,0.90389,0.94086,0.48583,0.04176,0.6839,0.92817,0.000227496,0.000227496,0.000227496
23,170.136,0.04313,0.70343,0.9278,0.91681,0.91224,0.94181,0.48752,0.04124,0.67708,0.92552,0.000219805,0.000219805,0.000219805
24,176.901,0.04458,0.72179,0.93489,0.91336,0.91359,0.94637,0.49441,0.0409,0.6721,0.92327,0.000212114,0.000212114,0.000212114
25,184.657,0.04406,0.7096,0.92955,0.92237,0.91556,0.9436,0.48814,0.04138,0.67794,0.9253,0.000204424,0.000204424,0.000204424
26,191.528,0.04312,0.69894,0.92783,0.91647,0.91437,0.94321,0.48821,0.04168,0.67946,0.9269,0.000196733,0.000196733,0.000196733
27,198.679,0.04293,0.69485,0.92463,0.92037,0.91278,0.94653,0.49422,0.0409,0.67265,0.92252,0.000189042,0.000189042,0.000189042
28,205.714,0.04378,0.71408,0.93181,0.91527,0.91056,0.94055,0.48676,0.04145,0.67248,0.92576,0.000181351,0.000181351,0.000181351
29,212.932,0.04348,0.70552,0.92154,0.91489,0.89583,0.93974,0.48837,0.04131,0.6768,0.92554,0.000173661,0.000173661,0.000173661
30,219.853,0.04339,0.70442,0.92441,0.91194,0.90333,0.93382,0.48214,0.04148,0.68184,0.92647,0.00016597,0.00016597,0.00016597
31,227.253,0.04386,0.71255,0.93213,0.91755,0.91556,0.9447,0.49228,0.04109,0.67565,0.92258,0.000158279,0.000158279,0.000158279
32,234.287,0.04352,0.7051,0.92906,0.91147,0.91519,0.94065,0.48812,0.04141,0.67787,0.92401,0.000150589,0.000150589,0.000150589
33,241.291,0.04261,0.68902,0.92097,0.91292,0.92056,0.9509,0.49937,0.0408,0.66929,0.92082,0.000142898,0.000142898,0.000142898
34,248.218,0.04398,0.70927,0.92544,0.91486,0.91333,0.94207,0.4921,0.04118,0.67129,0.92224,0.000135207,0.000135207,0.000135207
35,255.511,0.04383,0.70441,0.9309,0.92052,0.91369,0.94235,0.49809,0.0406,0.66696,0.92066,0.000127517,0.000127517,0.000127517
36,262.659,0.0428,0.69618,0.93222,0.91659,0.90889,0.94066,0.49843,0.04058,0.66572,0.91972,0.000119826,0.000119826,0.000119826
37,269.587,0.0428,0.70104,0.92551,0.91789,0.91222,0.94303,0.49495,0.04086,0.67181,0.921,0.000112135,0.000112135,0.000112135
38,277.599,0.04281,0.69127,0.92933,0.91494,0.90611,0.93729,0.48926,0.04112,0.67392,0.92274,0.000104445,0.000104445,0.000104445
39,284.621,0.04287,0.69247,0.92271,0.92051,0.91354,0.94406,0.49412,0.04092,0.67092,0.92034,9.67539e-05,9.67539e-05,9.67539e-05
40,291.776,0.04281,0.69446,0.92658,0.91858,0.92389,0.94793,0.49641,0.04076,0.6675,0.91961,8.90633e-05,8.90633e-05,8.90633e-05
41,304.383,0.04172,0.68241,0.94319,0.91039,0.90667,0.94229,0.496,0.04084,0.67183,0.92219,8.13726e-05,8.13726e-05,8.13726e-05
42,310.665,0.04211,0.68303,0.93717,0.92308,0.89667,0.94335,0.50029,0.0406,0.6663,0.92001,7.36819e-05,7.36819e-05,7.36819e-05
43,318.18,0.0425,0.69094,0.93869,0.91679,0.89366,0.93782,0.49563,0.04092,0.67395,0.92303,6.59912e-05,6.59912e-05,6.59912e-05
44,324.9,0.04255,0.69274,0.93866,0.91358,0.89861,0.93954,0.49701,0.04079,0.67041,0.92145,5.83005e-05,5.83005e-05,5.83005e-05
45,331.604,0.04241,0.68822,0.93246,0.92112,0.90823,0.9436,0.50012,0.04063,0.66508,0.91969,5.06098e-05,5.06098e-05,5.06098e-05
46,338.289,0.04246,0.68982,0.94131,0.9154,0.90775,0.94329,0.49957,0.04056,0.66494,0.91923,4.29191e-05,4.29191e-05,4.29191e-05
47,345.491,0.04132,0.67089,0.93371,0.91685,0.90667,0.94333,0.49802,0.04062,0.66336,0.92003,3.52285e-05,3.52285e-05,3.52285e-05
48,351.992,0.04207,0.68248,0.93571,0.91865,0.9097,0.94463,0.49992,0.04051,0.66351,0.91853,2.75378e-05,2.75378e-05,2.75378e-05
49,359.024,0.04162,0.67605,0.93459,0.91856,0.91333,0.94484,0.49968,0.0405,0.66355,0.91876,1.98471e-05,1.98471e-05,1.98471e-05
50,365.839,0.04206,0.68162,0.9413,0.91799,0.92036,0.94833,0.49917,0.04056,0.66424,0.91902,1.21564e-05,1.21564e-05,1.21564e-05
