epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2612,0.06231,1.98672,1.10429,0.076,0.82333,0.51425,0.19281,0.07232,3.06218,1.38152,0.0788558,0.0008558,0.0008558
2,21.4889,0.06154,1.25358,1.0965,0.16009,0.92,0.50138,0.17594,0.06102,2.97458,1.12174,0.056739,0.00173896,0.00173896
3,30.3279,0.06248,1.276,1.11843,0.43428,0.53722,0.48738,0.1516,0.06365,2.23273,1.20446,0.0346103,0.00261034,0.00261034
4,37.5906,0.06139,1.35966,1.10983,0.47612,0.56278,0.48448,0.11819,0.07035,1.82141,1.28286,0.0124699,0.00346991,0.00346991
5,45.7107,0.06681,1.35029,1.13771,0.45499,0.53475,0.43245,0.10181,0.07637,1.6759,1.33842,0.00378746,0.00378746,0.00378746
6,53.7188,0.06475,1.27697,1.16496,0.61176,0.55556,0.52138,0.1583,0.06677,1.6864,1.28417,0.00376182,0.00376182,0.00376182
7,61.2033,0.06447,1.2343,1.1455,0.60396,0.67778,0.61418,0.21165,0.06107,1.6122,1.19426,0.00373619,0.00373619,0.00373619
8,69.8626,0.06219,1.21318,1.11048,0.56003,0.64722,0.59154,0.18996,0.06261,1.96296,1.17169,0.00371055,0.00371055,0.00371055
9,77.1,0.06032,1.14603,1.09442,0.61629,0.68611,0.64133,0.2396,0.0688,2.66427,1.37945,0.00368492,0.00368492,0.00368492
10,86.3266,0.06051,1.13988,1.08343,0.67238,0.71033,0.68987,0.23859,0.06079,1.60828,1.16194,0.00365928,0.00365928,0.00365928
11,93.326,0.05656,1.05969,1.06912,0.68205,0.70389,0.69712,0.25251,0.06536,1.52994,1.25136,0.00363364,0.00363364,0.00363364
12,102.055,0.0567,1.06423,1.07008,0.66899,0.57056,0.64273,0.26188,0.06666,1.94166,1.20788,0.00360801,0.00360801,0.00360801
13,109.999,0.05865,1.09903,1.06657,0.71581,0.74944,0.75306,0.29277,0.05777,1.47043,1.11935,0.00358237,0.00358237,0.00358237
14,117.617,0.05582,1.0593,1.07103,0.78858,0.77294,0.79277,0.33036,0.05694,1.28866,1.11348,0.00355674,0.00355674,0.00355674
15,126.089,0.05664,1.05605,1.06034,0.75831,0.80183,0.80555,0.33529,0.05578,1.31124,1.07909,0.0035311,0.0035311,0.0035311
16,133.059,0.05633,1.05253,1.05743,0.77177,0.7909,0.80848,0.3115,0.05555,1.31513,1.06882,0.00350547,0.00350547,0.00350547
17,141.68,0.05477,1.0424,1.04414,0.54668,0.56344,0.52175,0.16878,0.06358,1.39653,1.16101,0.00347983,0.00347983,0.00347983
