epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2252,0.05004,2.96602,1.35442,0,0,0,0,0.04813,3.72707,1.23272,0.0750114,0.0010114,0.0010114
2,25.8151,0.05264,2.40707,1.40289,0.16013,0.23263,0.19004,0.07588,0.0652,6.46174,1.70552,0.0490515,0.00205151,0.00205151
3,35.808,0.05309,2.39119,1.46462,0.29475,0.17537,0.2078,0.08006,0.06759,2.68093,1.80986,0.0230812,0.00308124,0.00308124
4,46.2161,0.05931,2.46716,1.57071,0.49142,0.10081,0.11106,0.04488,0.07133,40.0975,2.44516,0.00383232,0.00383232,0.00383232
5,54.9869,0.0553,2.08632,1.43308,0.94167,0.1495,0.18648,0.09736,0.06343,2.98929,1.98334,0.00381309,0.00381309,0.00381309
6,64.1231,0.05613,2.13731,1.43132,0.32498,0.1586,0.17147,0.07095,0.05494,3.5996,1.46696,0.00379387,0.00379387,0.00379387
7,74.0193,0.05117,1.94135,1.37714,0.91934,0.19403,0.21652,0.11285,0.05752,2.35577,1.43485,0.00377464,0.00377464,0.00377464
8,82.4888,0.04996,1.78449,1.35883,0.94787,0.1813,0.21538,0.0744,0.06775,2.22201,1.6322,0.00375541,0.00375541,0.00375541
9,92.0728,0.04768,1.72718,1.31406,0.54432,0.51608,0.47832,0.26018,0.04035,1.57494,1.13507,0.00373619,0.00373619,0.00373619
10,102.134,0.04345,2.43646,1.22996,0.72674,0.20601,0.23252,0.0887,0.05987,2.0394,1.2923,0.00371696,0.00371696,0.00371696
11,110.4,0.05015,1.81681,1.36124,0.71935,0.2921,0.32245,0.17208,0.04144,1.62905,1.17327,0.00369773,0.00369773,0.00369773
12,119.997,0.04519,1.65245,1.31339,0.62162,0.2065,0.25991,0.13226,0.05146,1.9363,1.36979,0.00367851,0.00367851,0.00367851
13,130.23,0.04664,1.68314,1.31304,0.34122,0.18406,0.18643,0.06898,0.05656,2.25184,1.32955,0.00365928,0.00365928,0.00365928
14,138.556,0.04229,1.43643,1.21972,0.93794,0.18479,0.19261,0.09107,0.05349,1.92424,1.47554,0.00364005,0.00364005,0.00364005
15,148.409,0.04401,1.63632,1.32052,0.41269,0.25412,0.29655,0.15782,0.04573,1.74003,1.17501,0.00362083,0.00362083,0.00362083
16,158.233,0.04616,1.70266,1.3439,0.93166,0.14065,0.18653,0.0817,0.05625,2.49484,1.35258,0.0036016,0.0036016,0.0036016
17,166.177,0.04624,1.50137,1.30644,0.61375,0.15203,0.20899,0.11884,0.05102,2.50213,1.41098,0.00358237,0.00358237,0.00358237
18,175.864,0.04364,1.5562,1.2866,0.72304,0.1925,0.21283,0.11481,0.04577,2.64999,1.28529,0.00356315,0.00356315,0.00356315
19,184.857,0.04972,1.682,1.35878,0.62317,0.29034,0.31746,0.17984,0.03999,1.50146,1.13935,0.00354392,0.00354392,0.00354392
20,193.322,0.04374,1.59844,1.30843,0.71063,0.33667,0.44763,0.24554,0.03932,1.28604,1.12396,0.00352469,0.00352469,0.00352469
21,202.864,0.04074,1.30095,1.1793,0.54136,0.4949,0.48272,0.27669,0.03723,1.17747,1.07173,0.00350547,0.00350547,0.00350547
22,210.818,0.04141,1.3269,1.20247,0.61797,0.48071,0.52637,0.26331,0.04551,1.34764,1.12442,0.00348624,0.00348624,0.00348624
23,220.314,0.04257,1.33537,1.20969,0.27314,0.51752,0.29683,0.17675,0.03795,1.51419,1.06152,0.00346701,0.00346701,0.00346701
24,230.07,0.042,1.42774,1.25292,0.69617,0.60808,0.69194,0.40439,0.03578,0.96792,1.04005,0.00344779,0.00344779,0.00344779
25,237.957,0.0415,1.39411,1.23167,0.54037,0.32871,0.36534,0.18494,0.04482,1.69806,1.13377,0.00342856,0.00342856,0.00342856
26,247.753,0.04328,1.38406,1.24118,0.80239,0.29408,0.49278,0.3159,0.03656,1.22849,1.06443,0.00340933,0.00340933,0.00340933
27,257.326,0.04063,1.31327,1.22607,0.44871,0.29442,0.31696,0.18057,0.03794,1.28419,1.11737,0.00339011,0.00339011,0.00339011
28,265.576,0.03995,1.30717,1.20737,0.7074,0.47353,0.58086,0.30277,0.0421,1.14484,1.09607,0.00337088,0.00337088,0.00337088
29,275.269,0.03977,1.31513,1.22287,0.97134,0.23171,0.3077,0.16104,0.04877,2.13294,1.27863,0.00335165,0.00335165,0.00335165
30,284.055,0.04076,1.34368,1.23392,0.59759,0.5181,0.60147,0.35532,0.03546,1.03762,1.07281,0.00333243,0.00333243,0.00333243
31,292.894,0.04194,1.40567,1.27134,0.81353,0.36808,0.54361,0.33662,0.03782,1.32651,1.06486,0.0033132,0.0033132,0.0033132
32,302.539,0.04085,1.40688,1.2465,0.86553,0.23926,0.34776,0.18998,0.0478,2.48783,1.43042,0.00329397,0.00329397,0.00329397
33,310.856,0.04143,1.3852,1.26926,0.40169,0.28712,0.29946,0.15008,0.0467,1.69691,1.20388,0.00327475,0.00327475,0.00327475
34,320.162,0.03967,1.21417,1.1785,0.82398,0.352,0.51747,0.26623,0.04847,1.45229,1.1141,0.00325552,0.00325552,0.00325552
35,329.908,0.04275,1.3462,1.2282,0.7846,0.69763,0.78237,0.47221,0.03844,0.84316,1.0258,0.00323629,0.00323629,0.00323629
36,337.992,0.03936,1.27568,1.19002,0.88406,0.26913,0.36097,0.2193,0.04386,1.42151,1.12208,0.00321707,0.00321707,0.00321707
37,348.023,0.04102,1.313,1.21422,0.68061,0.45852,0.55707,0.32188,0.04459,1.34782,1.11961,0.00319784,0.00319784,0.00319784
38,357.802,0.0402,1.34472,1.24399,0.69653,0.51203,0.63012,0.39537,0.03352,0.97285,1.0332,0.00317861,0.00317861,0.00317861
39,365.91,0.03936,1.19935,1.19262,0.61941,0.48712,0.56379,0.32943,0.03549,1.13615,1.09433,0.00315938,0.00315938,0.00315938
40,375.418,0.04136,1.30851,1.21771,0.6502,0.40431,0.49673,0.24644,0.04665,1.77945,1.20721,0.00314016,0.00314016,0.00314016
41,383.997,0.04117,1.23624,1.19083,0.61867,0.4566,0.56003,0.29777,0.03901,1.06396,1.12521,0.00312093,0.00312093,0.00312093
42,393.108,0.03741,1.14072,1.18179,0.64867,0.65162,0.63771,0.39444,0.03203,0.95903,1.01264,0.0031017,0.0031017,0.0031017
43,402.808,0.04101,1.33075,1.2196,0.64588,0.4607,0.51839,0.28792,0.03625,0.94096,1.08309,0.00308248,0.00308248,0.00308248
44,410.885,0.04027,1.30523,1.25569,0.57122,0.26168,0.32396,0.1909,0.04057,1.44546,1.15672,0.00306325,0.00306325,0.00306325
45,420.673,0.0397,1.26518,1.20222,0.79741,0.30633,0.42384,0.23977,0.04374,1.43522,1.09573,0.00304402,0.00304402,0.00304402
46,430.194,0.03987,1.26854,1.21,0.54753,0.39178,0.48064,0.26254,nan,nan,nan,0.0030248,0.0030248,0.0030248
47,438.134,0.03952,1.10918,1.15557,0.65971,0.6212,0.66116,0.38044,0.03298,0.86587,1.01717,0.00300557,0.00300557,0.00300557
48,447.886,0.03862,1.0699,1.13038,0.65736,0.43114,0.5312,0.30492,0.03613,1.18814,1.07799,0.00298634,0.00298634,0.00298634
49,457.073,0.03854,1.21791,1.2146,0.73439,0.38192,0.55678,0.29352,0.03936,1.18721,1.07631,0.00296712,0.00296712,0.00296712
50,465.367,0.03931,1.10607,1.16662,0.6526,0.42477,0.45832,0.25793,0.03506,1.25023,1.06219,0.00294789,0.00294789,0.00294789
51,475.207,0.03846,1.08344,1.1463,0.73249,0.80609,0.8318,0.5446,0.03185,0.72637,0.99213,0.00292866,0.00292866,0.00292866
52,483.884,0.03812,1.19672,1.17684,0.72925,0.58399,0.65915,0.38551,0.03629,1.00211,1.05753,0.00290944,0.00290944,0.00290944
53,492.985,0.0388,1.06433,1.15132,0.52225,0.37094,0.39593,0.23241,0.03724,1.35297,1.06312,0.00289021,0.00289021,0.00289021
54,502.949,0.04022,1.2306,1.22849,0.59622,0.45699,0.53226,0.31746,0.03349,1.03943,1.03751,0.00287098,0.00287098,0.00287098
55,511.089,0.03777,1.14347,1.17697,0.89292,0.3554,0.44148,0.27448,0.03578,1.26835,1.08229,0.00285176,0.00285176,0.00285176
56,520.742,0.03698,1.18075,1.20303,0.79124,0.61317,0.69592,0.39398,0.03485,1.02471,1.03235,0.00283253,0.00283253,0.00283253
57,530.467,0.03748,1.07921,1.13856,0.70845,0.5183,0.60092,0.36549,0.03411,1.01524,1.05421,0.0028133,0.0028133,0.0028133
58,538.414,0.03803,1.1886,1.19782,0.85861,0.45428,0.60917,0.37598,0.03092,0.87939,1.00737,0.00279408,0.00279408,0.00279408
59,548.08,0.03821,1.1337,1.17164,0.62868,0.23415,0.27624,0.16083,0.03836,1.53993,1.1011,0.00277485,0.00277485,0.00277485
60,557.381,0.03779,1.12434,1.14437,0.78978,0.39396,0.48087,0.28107,0.03567,1.17588,1.07535,0.00275562,0.00275562,0.00275562
61,566.039,0.04178,1.38183,1.25742,0.65057,0.20835,0.24918,0.15047,0.04367,1.89122,1.192,0.0027364,0.0027364,0.0027364
62,575.564,0.03903,1.19273,1.19841,0.80328,0.6813,0.77356,0.47656,0.03574,0.86495,1.0076,0.00271717,0.00271717,0.00271717
63,583.945,0.03808,1.08006,1.1433,0.71523,0.56258,0.68836,0.39806,0.03421,0.81761,0.99475,0.00269794,0.00269794,0.00269794
64,593.136,0.03772,1.09657,1.1461,0.80902,0.76712,0.84039,0.5277,0.02903,0.723,0.97335,0.00267872,0.00267872,0.00267872
65,602.63,0.03692,1.07873,1.1566,0.8012,0.34214,0.52286,0.27609,0.0374,1.34222,1.0659,0.00265949,0.00265949,0.00265949
66,610.539,0.03659,1.04344,1.12322,0.78184,0.73295,0.792,0.51262,0.0278,0.72573,0.95585,0.00264026,0.00264026,0.00264026
67,620.398,0.03599,1.09969,1.13278,0.70477,0.51344,0.62835,0.37169,0.03417,0.96636,0.99247,0.00262104,0.00262104,0.00262104
68,629.896,0.03718,1.10246,1.15499,0.81349,0.61122,0.73997,0.42232,0.03081,0.84348,0.99922,0.00260181,0.00260181,0.00260181
69,638.043,0.03589,1.0581,1.13214,0.72323,0.70076,0.75416,0.45754,0.0324,0.76836,1.00714,0.00258258,0.00258258,0.00258258
70,647.89,0.03625,1.07151,1.14584,0.72434,0.58751,0.66065,0.40995,0.03024,0.91241,0.97968,0.00256336,0.00256336,0.00256336
71,657.173,0.03558,1.01344,1.13613,0.87862,0.79857,0.9215,0.59137,0.02622,0.61579,0.96873,0.00254413,0.00254413,0.00254413
72,665.492,0.03771,1.14401,1.18055,0.80156,0.72309,0.81199,0.48852,0.03482,0.74151,1.02376,0.0025249,0.0025249,0.0025249
73,675.221,0.03671,1.0257,1.14704,0.68955,0.4079,0.57245,0.34142,0.03049,1.02837,1.02032,0.00250568,0.00250568,0.00250568
74,684.138,0.03511,1.00595,1.12203,0.62685,0.68799,0.72709,0.46049,0.02804,0.72282,0.96526,0.00248645,0.00248645,0.00248645
75,693.16,0.03553,1.06681,1.14826,0.65579,0.61606,0.67395,0.41067,0.03314,0.85209,1.0008,0.00246722,0.00246722,0.00246722
76,703.335,0.03636,1.00775,1.12399,0.77091,0.55266,0.68329,0.41358,0.0321,0.96453,1.01696,0.002448,0.002448,0.002448
77,711.722,0.03509,0.97318,1.1151,0.85539,0.53141,0.69232,0.42365,0.03138,0.91261,1.02444,0.00242877,0.00242877,0.00242877
78,721.417,0.03566,1.01408,1.13718,0.61004,0.47988,0.57698,0.35156,0.02876,1.00541,0.98408,0.00240954,0.00240954,0.00240954
79,731.037,0.03565,0.97829,1.11712,0.74944,0.43993,0.54673,0.31109,0.03191,0.96728,1.05171,0.00239032,0.00239032,0.00239032
80,738.989,0.0349,1.03775,1.12905,0.62711,0.67846,0.71921,0.44213,0.03249,0.80217,0.99031,0.00237109,0.00237109,0.00237109
81,748.712,0.03672,1.05368,1.12992,0.87967,0.30238,0.3941,0.23065,0.03749,1.37027,1.13033,0.00235186,0.00235186,0.00235186
82,757.922,0.03706,1.11147,1.13487,0.6983,0.67139,0.76386,0.49839,0.03104,0.80353,0.97251,0.00233264,0.00233264,0.00233264
83,766.241,0.0371,1.05371,1.13137,0.88101,0.77076,0.90793,0.58053,0.03419,0.6372,0.97485,0.00231341,0.00231341,0.00231341
84,775.927,0.03534,0.99578,1.11588,0.90931,0.75205,0.90193,0.59064,0.02803,0.64497,0.94192,0.00229418,0.00229418,0.00229418
85,784.601,0.03733,1.04697,1.14384,0.69548,0.76232,0.83279,0.53239,0.02908,0.72414,0.94344,0.00227496,0.00227496,0.00227496
