epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1414,0.04848,2.95193,1.06955,0.81435,0.3123,0.47331,0.21132,0.04459,13.6342,1.03424,0.0942334,0.0002334,0.0002334
2,15.6382,0.04859,1.64474,1.06356,0.6348,0.72168,0.6301,0.21614,0.05094,5.46371,1.07042,0.0875007,0.000500701,0.000500701
3,19.6481,0.05536,1.14559,1.10574,0.7012,0.75565,0.68599,0.25457,0.04967,1.95119,1.05439,0.0807626,0.000762619,0.000762619
4,22.585,0.04631,1.02881,1.01049,0.75993,0.85922,0.85186,0.40318,0.04216,3.28501,1.02569,0.0740192,0.00101915,0.00101915
5,25.4735,0.04578,0.89849,0.99096,0.79007,0.8835,0.86058,0.41347,0.04052,2.81195,1.00468,0.0672703,0.0012703,0.0012703
6,28.4281,0.05056,1.05526,1.05012,0.58346,0.82524,0.68337,0.3021,0.04477,5.13717,1.01513,0.0605161,0.00151607,0.00151607
7,32.2855,0.0468,1.0705,1.0021,0.1492,0.66828,0.12151,0.05504,0.04928,10.2425,1.09258,0.0537565,0.00175645,0.00175645
8,35.506,0.05375,1.05308,1.08161,0.05583,0.34304,0.03748,0.01279,0.0653,inf,1.37685,0.0469915,0.00199145,0.00199145
9,38.366,0.04898,0.94975,1.03637,0.0061,0.04693,0.00371,0.00107,nan,nan,nan,0.0402211,0.00222107,0.00222107
10,41.2095,0.05669,1.11811,1.13736,0.02846,0.20227,0.01554,0.00735,0.05295,inf,1.23086,0.0334453,0.0024453,0.0024453
11,44.4842,0.05198,1.12147,1.06175,0.00093,0.00809,0.00048,0.00012,nan,nan,nan,0.0266642,0.00266415,0.00266415
12,48.1768,0.06164,1.1855,1.15145,0.3894,0.41424,0.28149,0.0923,0.0663,1.89152,1.32755,0.0198776,0.00287762,0.00287762
13,50.8929,0.06523,1.24668,1.24503,0.33481,0.2411,0.17343,0.03936,0.07846,2.87851,1.55847,0.0130857,0.0030857,0.0030857
14,53.6495,0.06787,1.55642,1.24457,0.00101,0.00162,0.00042,4e-05,nan,nan,nan,0.0062884,0.0032884,0.0032884
15,56.431,0.06936,1.70843,1.29847,0.00037,0.00324,0.00019,5e-05,0.12744,inf,39.2863,0.00335165,0.00335165,0.00335165
16,60.3761,0.06387,1.38884,1.16341,0.00021,0.00162,0.0001,3e-05,nan,nan,nan,0.0033132,0.0033132,0.0033132
17,63.6371,0.06176,1.32258,1.14373,0.15411,0.30906,0.12239,0.03568,0.07327,27.6212,1.37913,0.00327475,0.00327475,0.00327475
18,66.4514,0.05652,1.1485,1.11464,0.00037,0.00324,0.00019,4e-05,0.13915,inf,192.45,0.00323629,0.00323629,0.00323629
19,69.4053,0.06308,1.16206,1.16803,0.01245,0.03722,0.00576,0.00173,nan,nan,nan,0.00319784,0.00319784,0.00319784
20,72.227,0.0658,1.2359,1.17623,0.03925,0.04369,0.00765,0.00188,0.11659,5.13112,2.71423,0.00315938,0.00315938,0.00315938
21,76.2533,0.05276,1.10988,1.07804,0.32477,0.2767,0.18621,0.07083,0.06484,1.96406,1.34406,0.00312093,0.00312093,0.00312093
22,79.1611,0.05803,1.06191,1.15513,0.66009,0.6068,0.58892,0.1988,0.06347,1.63716,1.25053,0.00308248,0.00308248,0.00308248
23,81.8669,0.05729,1.06446,1.11281,0.74281,0.62623,0.62577,0.27523,0.04888,1.03269,1.06775,0.00304402,0.00304402,0.00304402
24,84.6403,0.0495,0.95786,1.02594,0.75358,0.72006,0.74603,0.34901,0.04756,1.00491,1.03182,0.00300557,0.00300557,0.00300557
25,87.6528,0.05369,0.95087,1.08738,0.56479,0.65049,0.52894,0.17554,0.06063,1.34388,1.17729,0.00296712,0.00296712,0.00296712
