epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.482,0.06146,1.94987,1.07773,0.09123,0.92898,0.67604,0.24073,0.05678,3.00516,1.02367,0.0788558,0.0008558,0.0008558
2,25.8093,0.06056,1.21887,1.07313,0.10009,0.8846,0.45731,0.14132,0.0619,2.99595,1.06628,0.0567418,0.00174185,0.00174185
3,35.7146,0.06121,1.19195,1.08635,0.15782,0.88825,0.47186,0.12323,0.06626,2.0828,1.16105,0.0346191,0.00261905,0.00261905
4,43.4889,0.0625,1.20634,1.10699,0.79075,0.68278,0.72252,0.23971,0.05803,1.84331,1.05927,0.0124874,0.00348741,0.00348741
5,52.5288,0.0632,1.22837,1.08359,0.19076,0.20975,0.09235,0.01856,0.09281,2.64093,1.3366,0.00381309,0.00381309,0.00381309
6,61.4952,0.05979,1.25237,1.06042,0.37096,0.51175,0.31148,0.08937,0.06639,1.81777,1.12772,0.00379387,0.00379387,0.00379387
7,69.0324,0.06055,1.13724,1.07267,0.673,0.69243,0.66495,0.20689,0.06028,1.26765,1.05935,0.00377464,0.00377464,0.00377464
8,78.1311,0.06245,1.15547,1.06725,0.76394,0.77737,0.785,0.30177,0.05534,1.0823,1.01876,0.00375541,0.00375541,0.00375541
9,85.5505,0.05568,1.0544,1.03398,0.74581,0.77755,0.77848,0.28385,0.05743,1.10903,1.07195,0.00373619,0.00373619,0.00373619
10,94.665,0.0582,1.05899,1.02945,0.82989,0.72689,0.78531,0.3083,0.05648,1.05531,1.02894,0.00371696,0.00371696,0.00371696
11,102.289,0.0538,1.00613,1.0197,0.6877,0.66527,0.68347,0.22879,0.06023,1.24918,1.05948,0.00369773,0.00369773,0.00369773
12,111.34,0.0577,1.06829,1.03913,0.40575,0.53943,0.34215,0.12489,0.05987,1.53398,1.06757,0.00367851,0.00367851,0.00367851
13,120.347,0.05609,1.04566,1.01535,0.77445,0.77277,0.77739,0.29943,0.05637,1.06641,1.01547,0.00365928,0.00365928,0.00365928
14,127.979,0.05255,0.98734,1.00449,0.72858,0.72063,0.74469,0.28919,0.05702,1.12548,1.02543,0.00364005,0.00364005,0.00364005
15,137.297,0.05817,1.0751,1.04281,0.78389,0.78608,0.7951,0.30011,0.05496,1.06104,1.0082,0.00362083,0.00362083,0.00362083
16,144.646,0.05621,1.05559,1.02279,0.7319,0.73003,0.74263,0.26211,0.05953,1.09655,1.04288,0.0036016,0.0036016,0.0036016
17,153.854,0.05347,0.97395,1.01321,0.74014,0.76188,0.72763,0.27021,0.05956,1.05908,1.06215,0.00358237,0.00358237,0.00358237
18,162.259,0.05599,1.03125,1.02388,0.72063,0.74891,0.74135,0.25547,0.05903,1.07752,1.05498,0.00356315,0.00356315,0.00356315
19,170.434,0.0552,1.01458,1.01759,0.72133,0.711,0.75116,0.29603,0.05536,1.07909,1.01004,0.00354392,0.00354392,0.00354392
20,179.288,0.05506,1.02083,1.00048,0.66119,0.62141,0.62661,0.22257,0.0611,1.10965,1.07339,0.00352469,0.00352469,0.00352469
21,186.591,0.05546,1.02129,1.00609,0.77923,0.68198,0.77064,0.31415,0.05403,1.08673,0.99779,0.00350547,0.00350547,0.00350547
22,195.826,0.05491,1.01559,1.01006,0.84219,0.80313,0.84716,0.34849,0.05418,0.93831,1.00556,0.00348624,0.00348624,0.00348624
23,203.136,0.05276,0.97465,1.00772,0.8366,0.79141,0.83767,0.3412,0.05309,1.00123,0.99049,0.00346701,0.00346701,0.00346701
24,212.095,0.05482,0.9724,1.01304,0.74506,0.75848,0.77438,0.29203,0.05706,1.0335,1.0251,0.00344779,0.00344779,0.00344779
25,219.969,0.05562,0.99421,1.0163,0.80271,0.79889,0.81305,0.3093,0.05512,1.04852,1.01439,0.00342856,0.00342856,0.00342856
26,228.316,0.05345,0.97994,1.01044,0.78504,0.79904,0.80311,0.32852,0.05403,1.00825,0.99549,0.00340933,0.00340933,0.00340933
27,237.295,0.05241,0.94752,0.99127,0.86686,0.81671,0.86467,0.3577,0.05218,0.96148,0.98544,0.00339011,0.00339011,0.00339011
28,244.745,0.05342,0.97223,0.9888,0.84766,0.86319,0.86682,0.36201,0.05223,0.94393,0.9838,0.00337088,0.00337088,0.00337088
29,254.283,0.05221,0.97407,0.9951,0.72898,0.80627,0.77258,0.30767,0.05544,0.9958,1.01045,0.00335165,0.00335165,0.00335165
30,261.938,0.05109,0.93694,0.97655,0.85153,0.84761,0.86206,0.36445,0.05152,0.97368,0.97263,0.00333243,0.00333243,0.00333243
31,271.014,0.05116,0.93057,0.98955,0.78953,0.80574,0.783,0.30268,0.05641,1.04706,1.0226,0.0033132,0.0033132,0.0033132
32,279.697,0.05275,0.96122,0.98705,0.78308,0.837,0.84324,0.35218,0.05195,0.98456,0.97306,0.00329397,0.00329397,0.00329397
33,287.349,0.05255,0.94107,0.99087,0.85583,0.84178,0.867,0.35164,0.05429,0.94643,0.9926,0.00327475,0.00327475,0.00327475
34,296.373,0.05444,0.95559,1.01368,0.83114,0.84334,0.8413,0.33961,0.05243,0.96075,0.99166,0.00325552,0.00325552,0.00325552
35,303.747,0.05162,0.92808,0.99005,0.847,0.847,0.85582,0.35762,0.05284,0.95956,0.98945,0.00323629,0.00323629,0.00323629
36,312.745,0.05277,0.94733,1.00394,0.76785,0.78486,0.79983,0.30732,0.05316,1.04383,0.98515,0.00321707,0.00321707,0.00321707
37,320.454,0.05209,0.9453,0.98193,0.84148,0.85692,0.86578,0.36826,0.05189,0.95452,0.97477,0.00319784,0.00319784,0.00319784
38,329.209,0.05242,0.94225,0.99439,0.84485,0.84454,0.86055,0.35978,0.05183,0.95596,0.97277,0.00317861,0.00317861,0.00317861
39,337.905,0.05093,0.90721,0.98275,0.85795,0.83577,0.86714,0.37387,0.05149,0.91303,0.96786,0.00315938,0.00315938,0.00315938
40,345.431,0.05094,0.91972,0.98454,0.85596,0.74785,0.82626,0.34515,0.05321,0.96341,0.98833,0.00314016,0.00314016,0.00314016
41,354.355,0.05365,0.94125,0.99669,0.8421,0.82768,0.85288,0.3363,0.05359,0.98779,0.99122,0.00312093,0.00312093,0.00312093
42,361.706,0.05136,0.89688,0.97866,0.76967,0.8,0.8073,0.33404,0.05423,0.97105,0.9947,0.0031017,0.0031017,0.0031017
43,370.989,0.05166,0.93537,0.97915,0.85809,0.84073,0.85947,0.36114,0.05156,0.94743,0.97182,0.00308248,0.00308248,0.00308248
