epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9683,0.05327,3.72349,1.54706,0.33914,0.29288,0.28918,0.11597,0.05613,35.6761,1.93696,0.0817391,0.0007391,0.0007391
2,24.8107,0.05032,2.9162,1.35554,0.00025,0.02326,0.00014,3e-05,nan,nan,nan,0.0625071,0.0015071,0.0015071
3,31.6217,0.06471,3.16531,1.7804,0,0,0,0,nan,nan,nan,0.0432648,0.00226485,0.00226485
4,39.8012,0.06626,3.38487,1.76423,0.00029,0.0241,0.00016,2e-05,0.09491,4.97945,4.0337,0.0240123,0.00301234,0.00301234
5,46.9028,0.06887,3.06586,1.76821,0.77977,0.1379,0.09643,0.02738,0.07423,10.7451,1.96126,0.00474958,0.00374958,0.00374958
6,54.7359,0.07265,3.42892,1.85455,0.06958,0.04836,0.02232,0.00462,0.10927,inf,1183.11,0.00376182,0.00376182,0.00376182
7,61.9476,0.07015,2.87324,1.74713,0.17289,0.1286,0.11347,0.04625,0.0655,34.5935,1.73311,0.00373619,0.00373619,0.00373619
8,69.7893,0.06226,2.60803,1.60885,0.43221,0.08122,0.05691,0.01965,0.06252,13.9571,1.77363,0.00371055,0.00371055,0.00371055
9,77.7857,0.06323,2.81248,1.62212,0.47548,0.40171,0.33321,0.14519,0.05202,2.81681,1.44096,0.00368492,0.00368492,0.00368492
10,85.0873,0.05649,2.26786,1.47022,0.95863,0.20302,0.24685,0.14428,0.04632,1.98301,1.41359,0.00365928,0.00365928,0.00365928
11,93.2092,0.05228,2.0623,1.41041,0.89076,0.09391,0.11277,0.04881,0.06741,2.99935,1.80286,0.00363364,0.00363364,0.00363364
12,100.184,0.05752,2.19383,1.47166,0.87277,0.0956,0.11951,0.05217,0.05933,2.8483,1.66645,0.00360801,0.00360801,0.00360801
13,108.904,0.05178,2.08574,1.44982,0.78362,0.26913,0.29804,0.16613,0.04086,2.03853,1.31848,0.00358237,0.00358237,0.00358237
