epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6726,0.05534,4.77792,1.61526,0.03515,0.14061,0.03242,0.01175,0.07686,18.2602,2.98324,0.0875057,0.0005057,0.0005057
2,26.8375,0.05134,2.72378,1.43258,0.00291,0.03885,0.00309,0.00195,nan,nan,nan,0.0740399,0.00103992,0.00103992
3,37.6493,0.05261,2.39494,1.42899,3e-05,0.00125,1e-05,1e-05,nan,nan,nan,0.0605634,0.00156337,0.00156337
4,51.5883,0.05606,2.42737,1.44272,6e-05,0.00501,3e-05,1e-05,0.13143,inf,25.2861,0.0470761,0.00207605,0.00207605
5,61.7224,0.06317,2.54463,1.60459,0,0,0,0,nan,nan,nan,0.033578,0.00257797,0.00257797
6,72.1477,0.05702,2.60469,1.6386,0.19398,0.11529,0.10507,0.03986,0.06745,6.52753,2.37414,0.0200691,0.00306912,0.00306912
7,82.8937,0.05218,2.0483,1.39599,0.00691,0.01356,0.00207,0.00116,0.11396,inf,272.07,0.0065495,0.0035495,0.0035495
8,92.3248,0.05332,2.26307,1.47782,0.35873,0.01128,0.00538,0.00195,nan,nan,nan,0.00362083,0.00362083,0.00362083
9,103.017,0.05929,2.42465,1.58028,0.97959,0.05764,0.12244,0.06587,0.06545,inf,2.106,0.00358237,0.00358237,0.00358237
10,113.177,0.0535,2.07302,1.41363,0.59195,0.15539,0.19906,0.09695,0.05796,3.37275,1.73174,0.00354392,0.00354392,0.00354392
11,122.441,0.04943,1.95068,1.38919,0,0,0,0,nan,nan,nan,0.00350547,0.00350547,0.00350547
12,132.683,0.05181,1.85975,1.40067,0.33615,0.1463,0.16506,0.08601,0.05566,5.31848,1.64842,0.00346701,0.00346701,0.00346701
13,142.704,0.04648,1.56062,1.26967,0.87372,0.30191,0.34502,0.15853,0.05097,2.9749,1.44812,0.00342856,0.00342856,0.00342856
14,152.929,0.04536,1.55469,1.27343,0.89979,0.41567,0.56227,0.32754,0.03473,1.59721,1.14265,0.00339011,0.00339011,0.00339011
15,162.728,0.04437,1.57826,1.27611,0.95187,0.30424,0.35027,0.19165,0.04342,2.29663,1.3445,0.00335165,0.00335165,0.00335165
16,173.117,0.04655,1.61312,1.30858,0.69564,0.0213,0.00949,0.00227,0.07639,47.2133,2.80431,0.0033132,0.0033132,0.0033132
17,183.279,0.04502,1.65095,1.3011,0.62951,0.14411,0.17566,0.08687,0.0522,2.90698,1.53797,0.00327475,0.00327475,0.00327475
18,192.555,0.04572,1.57697,1.2852,0.94424,0.27552,0.32023,0.18543,0.04143,2.48704,1.29525,0.00323629,0.00323629,0.00323629
19,202.445,0.044,1.52733,1.27879,0.4375,0.39037,0.42609,0.23026,0.04171,1.80802,1.30423,0.00319784,0.00319784,0.00319784
20,212.554,0.04321,1.5528,1.25515,0.91841,0.20927,0.23614,0.11505,0.05404,2.56124,1.59944,0.00315938,0.00315938,0.00315938
21,221.872,0.04305,1.45925,1.23356,0.77003,0.2584,0.30484,0.16454,0.047,2.63579,1.45536,0.00312093,0.00312093,0.00312093
22,231.758,0.04416,1.43361,1.2503,0.84016,0.26762,0.29934,0.13852,0.04864,2.21599,1.39017,0.00308248,0.00308248,0.00308248
23,241.862,0.04281,1.41564,1.22616,0.46397,0.41279,0.40085,0.23278,0.03684,1.6253,1.18961,0.00304402,0.00304402,0.00304402
24,251.826,0.04283,1.30168,1.21037,0.98102,0.22834,0.27535,0.14432,0.04872,2.20161,1.36984,0.00300557,0.00300557,0.00300557
25,261.508,0.04308,1.43846,1.26276,0.82468,0.28308,0.32471,0.19692,0.04345,1.72242,1.26903,0.00296712,0.00296712,0.00296712
26,271.738,0.04049,1.18941,1.15606,0.78029,0.45431,0.56599,0.31259,0.03852,14.5223,1.23829,0.00292866,0.00292866,0.00292866
27,282.049,0.03981,1.29348,1.18216,0.76683,0.3728,0.41835,0.23679,0.04235,1.79655,1.27997,0.00289021,0.00289021,0.00289021
28,291.479,0.04002,1.28164,1.20739,0.44475,0.26521,0.29528,0.14793,0.04778,2.53709,1.40262,0.00285176,0.00285176,0.00285176
29,301.782,0.04111,1.26136,1.19825,0.75996,0.22317,0.27629,0.1379,0.05339,2.17861,1.46065,0.0028133,0.0028133,0.0028133
30,311.915,0.03875,1.26321,1.17513,0.7133,0.26908,0.28612,0.17182,0.04762,1.86107,1.43004,0.00277485,0.00277485,0.00277485
31,321.82,0.04121,1.28747,1.20062,0.6355,0.16512,0.17415,0.0888,0.05766,8.82609,1.73281,0.0027364,0.0027364,0.0027364
32,331.624,0.04072,1.30882,1.21232,0.61584,0.15789,0.19604,0.10123,0.06306,2.77128,1.94701,0.00269794,0.00269794,0.00269794
33,341.73,0.0431,1.29751,1.2241,0.65168,0.61195,0.63636,0.3337,0.04044,1.36503,1.19469,0.00265949,0.00265949,0.00265949
34,351.991,0.0415,1.21238,1.18895,0.94697,0.43533,0.56233,0.3071,0.03596,1.65005,1.16425,0.00262104,0.00262104,0.00262104
35,361.884,0.04086,1.29532,1.23798,0.71862,0.65749,0.73615,0.45254,0.0328,1.04932,1.13222,0.00258258,0.00258258,0.00258258
36,372.52,0.03703,1.08285,1.12804,0.60719,0.55418,0.56607,0.3603,0.04055,2.05885,1.26619,0.00254413,0.00254413,0.00254413
37,382.727,0.03863,1.12292,1.13573,0.70697,0.4937,0.55388,0.3566,0.03514,1.17645,1.18089,0.00250568,0.00250568,0.00250568
38,392.102,0.03957,1.24245,1.1781,0.81737,0.25269,0.30926,0.17616,0.05333,2.59621,1.55617,0.00246722,0.00246722,0.00246722
39,402.302,0.03687,1.15086,1.15467,0.53254,0.24592,0.29934,0.18077,0.04668,2.25774,1.42139,0.00242877,0.00242877,0.00242877
40,412.432,0.03855,1.19417,1.16044,0.70269,0.62504,0.71004,0.43437,0.03553,1.44799,1.15872,0.00239032,0.00239032,0.00239032
41,422.072,0.03689,1.08809,1.12605,0.73695,0.72241,0.78701,0.50526,0.03166,0.75457,1.08995,0.00235186,0.00235186,0.00235186
42,432.22,0.03933,1.21616,1.20489,0.81103,0.36094,0.40121,0.23907,0.03898,3.9828,1.27351,0.00231341,0.00231341,0.00231341
43,442.441,0.03835,1.12554,1.15881,0.77314,0.78947,0.85911,0.56301,0.02939,0.71403,1.06283,0.00227496,0.00227496,0.00227496
44,452.703,0.03588,1.0336,1.11639,0.8234,0.24358,0.2839,0.19596,0.04105,1.9234,1.32689,0.0022365,0.0022365,0.0022365
45,462.37,0.04154,1.16477,1.1802,0.90162,0.43489,0.52169,0.29343,0.03413,1.66402,1.15802,0.00219805,0.00219805,0.00219805
