epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9343,0.05779,5.09814,1.6121,0.03118,0.09572,0.01653,0.00834,0.08249,39.0889,3.15813,0.08752,0.00052,0.00052
2,27.5342,0.05354,2.97545,1.46594,0.33914,0.08521,0.00509,0.00194,nan,nan,nan,0.0740693,0.00106931,0.00106931
3,38.2373,0.05878,2.60719,1.48852,3e-05,0.00251,1e-05,0,nan,nan,nan,0.0606075,0.00160753,0.00160753
4,48.5056,0.05749,2.69406,1.45308,0,0,0,0,nan,nan,nan,0.0471347,0.00213466,0.00213466
5,58.8453,0.06192,2.59843,1.5447,0.03193,0.01378,0.00269,0.00037,nan,nan,nan,0.0336507,0.0026507,0.0026507
6,68.6195,0.05736,2.50346,1.53926,0,0,0,0,nan,nan,nan,0.0201557,0.00315566,0.00315566
7,78.7721,0.05743,2.17623,1.43637,0.34151,0.00627,0.00038,7e-05,0.09374,28.1936,2.8762,0.00664953,0.00364953,0.00364953
8,89.6667,0.06194,2.87681,1.58789,0.0008,0.06642,0.00055,0.00016,0.13771,inf,6.45173,0.0037228,0.0037228,0.0037228
9,100.099,0.06129,2.60771,1.54436,0.20209,0.19902,0.17876,0.07976,0.06746,58.1747,1.97415,0.0036832,0.0036832,0.0036832
10,113.134,0.05608,2.23609,1.40295,0,0,0,0,nan,nan,nan,0.0036436,0.0036436,0.0036436
11,122.955,0.05194,1.99835,1.36276,0.17266,0.22603,0.09088,0.04514,nan,nan,nan,0.003604,0.003604,0.003604
12,132.847,0.05219,1.85832,1.33908,0.35648,0.30172,0.30285,0.14382,0.0519,3.02501,1.40386,0.0035644,0.0035644,0.0035644
13,143.527,0.05338,1.83583,1.34137,0.6854,0.21628,0.26775,0.15489,0.05115,2.73338,1.48852,0.0035248,0.0035248,0.0035248
14,154.367,0.04803,1.71021,1.28134,0.91928,0.18296,0.20617,0.11097,0.05334,8.41037,1.60037,0.0034852,0.0034852,0.0034852
15,163.717,0.04759,1.72845,1.28555,0.44633,0.56048,0.50294,0.28197,0.04411,2.02195,1.30163,0.0034456,0.0034456,0.0034456
16,174.1,0.04876,1.74773,1.30946,0.32335,0.2487,0.26809,0.14218,0.05617,2.76336,1.60575,0.003406,0.003406,0.003406
17,184.416,0.04925,1.9043,1.32825,0.49827,0.55318,0.57708,0.31456,0.04032,1.20157,1.22905,0.0033664,0.0033664,0.0033664
18,194.311,0.04764,1.74377,1.29133,0.33509,0.00376,0.00013,4e-05,0.09776,23.8453,3.7663,0.0033268,0.0033268,0.0033268
19,204.164,0.04697,1.69524,1.27938,0.79699,0.22569,0.23435,0.13756,0.05501,3.77766,1.63151,0.0032872,0.0032872,0.0032872
20,214.266,0.04641,1.62654,1.25801,0.62777,0.21178,0.25411,0.14488,0.04926,2.72647,1.39885,0.0032476,0.0032476,0.0032476
21,224.387,0.04578,1.57911,1.23848,0.8519,0.31429,0.36649,0.19565,0.04737,1.857,1.38282,0.003208,0.003208,0.003208
22,234.193,0.04755,1.58628,1.25328,0.59984,0.483,0.52628,0.2612,0.04735,1.59307,1.29804,0.0031684,0.0031684,0.0031684
23,244.313,0.0443,1.51355,1.21388,0.75735,0.32265,0.36715,0.22024,0.04137,2.02308,1.21312,0.0031288,0.0031288,0.0031288
24,254.65,0.04728,1.45343,1.22202,0.66574,0.58868,0.66511,0.37281,0.04558,1.21254,1.23612,0.0030892,0.0030892,0.0030892
25,264.221,0.04395,1.52032,1.22679,0.66612,0.25028,0.30877,0.18972,0.05345,2.70441,1.4516,0.0030496,0.0030496,0.0030496
26,274.264,0.04193,1.25435,1.13368,0.59821,0.23675,0.26129,0.15426,0.05261,2.41497,1.70973,0.00301,0.00301,0.00301
27,284.368,0.04261,1.38219,1.1692,0.51468,0.3484,0.41436,0.24291,0.04665,7.06663,1.35952,0.0029704,0.0029704,0.0029704
28,294.354,0.04074,1.32953,1.17318,0.87598,0.12782,0.11992,0.07004,0.06461,6.95352,2.40307,0.0029308,0.0029308,0.0029308
29,304.432,0.0448,1.35766,1.19299,0.73599,0.59136,0.71514,0.39767,0.04196,1.12605,1.24521,0.0028912,0.0028912,0.0028912
30,314.536,0.04285,1.41646,1.18495,0.40987,0.21692,0.25433,0.14575,nan,nan,nan,0.0028516,0.0028516,0.0028516
31,324.937,0.04362,1.39798,1.19489,0.68149,0.14617,0.19182,0.10805,0.05193,2.67941,1.48202,0.002812,0.002812,0.002812
