epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,561.46,0.05569,1.06899,1.04322,0.78797,0.75854,0.81028,0.36207,0.05452,1.04352,1.01844,0.00278767,0.00278767,0.00278767
45,573.883,0.05269,1.00319,0.99861,0.79314,0.68554,0.77538,0.3314,0.05579,1.08058,1.02812,0.00276203,0.00276203,0.00276203
46,586.259,0.0539,1.01912,1.02995,0.7019,0.51674,0.63088,0.28521,0.05849,1.42959,1.06501,0.0027364,0.0027364,0.0027364
47,598.765,0.05274,1.01699,1.02196,0.69446,0.6818,0.7461,0.31699,0.05541,1.1318,1.02057,0.00271076,0.00271076,0.00271076
48,611.522,0.0541,1.02029,1.01924,0.7422,0.53483,0.65744,0.29482,0.0588,1.26474,1.06879,0.00268513,0.00268513,0.00268513
49,624.214,0.05161,0.96766,1.00472,0.76694,0.73453,0.79709,0.35105,0.05377,1.05314,1.00643,0.00265949,0.00265949,0.00265949
50,637.009,0.05127,0.96539,1.00741,0.80493,0.77428,0.82744,0.35691,0.05423,1.00994,1.01631,0.00263385,0.00263385,0.00263385
51,649.784,0.05278,0.9828,1.00684,0.75415,0.67618,0.7402,0.29226,0.05745,1.11447,1.04017,0.00260822,0.00260822,0.00260822
52,662.207,0.05436,1.04037,1.0258,0.78005,0.69206,0.78528,0.3439,0.05559,1.09148,1.0296,0.00258258,0.00258258,0.00258258
53,674.274,0.05248,0.99103,1.00756,0.69482,0.63605,0.73037,0.32172,0.05615,1.16987,1.03514,0.00255695,0.00255695,0.00255695
54,686.766,0.05278,0.98586,1.01294,0.79437,0.71642,0.80544,0.36036,0.0531,1.03657,1.00464,0.00253131,0.00253131,0.00253131
55,699.426,0.05268,0.98623,1.00441,0.76373,0.74169,0.77381,0.30385,0.05759,1.08512,1.04211,0.00250568,0.00250568,0.00250568
56,711.626,0.05483,1.03756,1.02418,0.54581,0.55873,0.58809,0.23207,0.06054,1.50605,1.05883,0.00248004,0.00248004,0.00248004
57,724.162,0.05306,0.9986,1.01661,0.677,0.42723,0.50512,0.20922,0.06761,1.6944,1.198,0.00245441,0.00245441,0.00245441
58,736.735,0.05435,1.0259,1.02447,0.77923,0.7314,0.78533,0.3428,0.0557,1.04561,1.02662,0.00242877,0.00242877,0.00242877
59,749.335,0.05259,0.98713,1.01163,0.75364,0.73421,0.7871,0.34237,0.05435,1.07528,1.00936,0.00240313,0.00240313,0.00240313
60,762.302,0.05372,1.01949,1.01538,0.71286,0.68554,0.74383,0.3198,0.05644,1.12809,1.03609,0.0023775,0.0023775,0.0023775
61,774.747,0.0526,0.98142,1.01152,0.69574,0.6205,0.71182,0.31199,0.05663,1.17547,1.03641,0.00235186,0.00235186,0.00235186
62,786.975,0.05431,1.02633,1.01322,0.76731,0.60084,0.71432,0.30412,0.05665,1.21905,1.03509,0.00232623,0.00232623,0.00232623
63,799.174,0.05284,0.99793,1.009,0.75996,0.66401,0.76281,0.32641,0.05625,1.11709,1.02485,0.00230059,0.00230059,0.00230059
64,811.439,0.05149,0.96307,1.00678,0.74656,0.76364,0.80801,0.35902,0.05325,1.03519,1.00148,0.00227496,0.00227496,0.00227496
